title,authors,cover,summary,language,categories,editor,publicationYear,pagesNumber,amazonLink,kindleLink,audibleLink,fnacLink,ISBN,rating
Wuthering Heights (Collins Classics),,"https://images-na.ssl-images-amazon.com/images/I/41k1JwQ6zVL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Literature', 'Fiction', 'Genre']",,,,https://www.amazon.com/dp/0007350813,,,,0007350813,4.6
THE DAYS THE CRAYONS QUIT,,"https://images-na.ssl-images-amazon.com/images/I/51q21jP9MtL._SX218_BO1,204,203,200_QL40_ML2_.jpg",,,[],,,,https://www.amazon.com/dp/0007513763,,,,9780007513765,4.8
War Lord: Book 13 (The Last Kingdom Series),,"https://images-na.ssl-images-amazon.com/images/I/51n75dtKIPL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Literature', 'Fiction', 'Genre']",,,,https://www.amazon.com/dp/0008183988,,,,0008183988,4.8
Code Name Bananas: The hilarious and epic new children’s book from multi-million bestselling author David Walliams,,"https://images-na.ssl-images-amazon.com/images/I/513FzT0YbIL._SY291_BO1,204,203,200_QL40_ML2_.jpg",,,[],,,,https://www.amazon.com/dp/0008305838,,,,0008305838,4.8
Skincare: The award-winning ultimate no-nonsense guide and Sunday Times No. 1 best-seller,,"https://images-na.ssl-images-amazon.com/images/I/51agrdZp2BS._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Crafts', 'Hobbies', 'Home', 'Home Improvement', 'Design']",,,,https://www.amazon.com/dp/0008375526,,,,0008375526,4.8
The Hobbit & The Lord of the Rings Boxed Set,,"https://images-na.ssl-images-amazon.com/images/I/51iy3eo8+KL._SY344_BO1,204,203,200_.jpg",,,"['Literature', 'Fiction', 'Mythology', 'Folk Tales']",,,,https://www.amazon.com/dp/0008387753,,,,0008387753,4.8
The Silmarillion,,"https://images-na.ssl-images-amazon.com/images/I/51KZEkcVYML._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Literature', 'Fiction', 'Genre']",,,,https://www.amazon.com/dp/0008433941,,,,0008433941,4.7
The Chronicles of Narnia (Box Set),,"https://images-na.ssl-images-amazon.com/images/I/51YGwxKn3CL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",,,[],,,,https://www.amazon.com/dp/0060244887,,,,0060244887,4.8
Where the Wild Things Are,,"https://images-na.ssl-images-amazon.com/images/I/61zGOvBSgAL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",,,[],,,,https://www.amazon.com/dp/0060254920,,,,0060254920,4.9
The Giving Tree,,"https://images-na.ssl-images-amazon.com/images/I/41m-Tm2wAqL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,[],,,,https://www.amazon.com/dp/0060256656,,,,0060256656,4.9
The Intelligent Investor Rev Ed.: The Definitive Book on Value Investing,,"https://images-na.ssl-images-amazon.com/images/I/41vQ4DGEmoL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Business', 'Money', 'Investing']",,,,https://www.amazon.com/dp/0060555661,,,,9780060555665,4.7
Pretty Girls,,"https://images-na.ssl-images-amazon.com/images/I/51059l63ziL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Mystery', 'Thriller', 'Suspense']",,,,https://www.amazon.com/dp/0062429078,,,,0062429078,4.3
Mere Christianity,,"https://images-na.ssl-images-amazon.com/images/I/41u+v3YL9xL._SY344_BO1,204,203,200_.jpg",,,"['Christian', 'Bible', 'Living']",,,,https://www.amazon.com/dp/0060652888,,,,0060652888,4.8
"The Plant Paradox: The Hidden Dangers in 'Healthy' Foods That Cause Disease and Weight Gain (The Plant Paradox, 1)",,"https://images-na.ssl-images-amazon.com/images/I/41vHpaHqqqL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Health', 'Fitness', 'Dieting', 'Diet', 'Weight Loss']",,,,https://www.amazon.com/dp/0062909711,,,,0062909711,4.4
The Hating Game: A Novel,,"https://images-na.ssl-images-amazon.com/images/I/51kFZTPkczL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Humor', 'Entertainment']",,,,https://www.amazon.com/dp/0062439596,,,,0062439596,4.5
Just as I Am: A Memoir,,"https://images-na.ssl-images-amazon.com/images/I/41SrQ9us8GL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Biographies', 'Memoirs', 'Art', 'Literature']",,,,https://www.amazon.com/dp/0062931067,,,,0062931067,4.9
The One and Only Ivan,,"https://images-na.ssl-images-amazon.com/images/I/51oG306ACnL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,[],,,,https://www.amazon.com/dp/0061992275,,,,0061992275,4.8
