title,cover,summary,language,categories,editor,publicationYear,pagesNumber,amazonLink,kindleLink,audibleLink,fnacLink,ISBN,rating,authors
"The Hunger Games (The Hunger Games, #1)",https://images.gr-assets.com/books/1447303603m/2767052.jpg,,eng,,,2008.0,,,,,,439023483,4.34,Suzanne Collins
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",https://images.gr-assets.com/books/1474154022m/3.jpg,,eng,,,1997.0,,,,,,439554934,4.44,"J.K. Rowling, Mary GrandPré"
"Twilight (Twilight, #1)",https://images.gr-assets.com/books/1361039443m/41865.jpg,,en-US,,,2005.0,,,,,,316015849,3.57,Stephenie Meyer
To Kill a Mockingbird,https://images.gr-assets.com/books/1361975680m/2657.jpg,,eng,,,1960.0,,,,,,61120081,4.25,Harper Lee
The Great Gatsby,https://images.gr-assets.com/books/1490528560m/4671.jpg,,eng,,,1925.0,,,,,,743273567,3.89,F. Scott Fitzgerald
The Fault in Our Stars,https://images.gr-assets.com/books/1360206420m/11870085.jpg,,eng,,,2012.0,,,,,,525478817,4.26,John Green
The Hobbit,https://images.gr-assets.com/books/1372847500m/5907.jpg,,en-US,,,1937.0,,,,,,618260307,4.25,J.R.R. Tolkien
The Catcher in the Rye,https://images.gr-assets.com/books/1398034300m/5107.jpg,,eng,,,1951.0,,,,,,316769177,3.79,J.D. Salinger
"Angels & Demons  (Robert Langdon, #1)",https://images.gr-assets.com/books/1303390735m/960.jpg,,en-CA,,,2000.0,,,,,,1416524797,3.85,Dan Brown
Pride and Prejudice,https://images.gr-assets.com/books/1320399351m/1885.jpg,,eng,,,1813.0,,,,,,679783261,4.24,Jane Austen
The Kite Runner,https://images.gr-assets.com/books/1484565687m/77203.jpg,,eng,,,2003.0,,,,,,1594480001,4.26,Khaled Hosseini
"Divergent (Divergent, #1)",https://images.gr-assets.com/books/1328559506m/13335037.jpg,,eng,,,2011.0,,,,,,62024035,4.24,Veronica Roth
1984,https://images.gr-assets.com/books/1348990566m/5470.jpg,,eng,,,1949.0,,,,,,451524934,4.14,"George Orwell, Erich Fromm, Celâl Üster"
Animal Farm,https://images.gr-assets.com/books/1424037542m/7613.jpg,,eng,,,1945.0,,,,,,452284244,3.87,George Orwell
The Diary of a Young Girl,https://images.gr-assets.com/books/1358276407m/48855.jpg,,eng,,,1947.0,,,,,,553296981,4.1,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday"
"The Girl with the Dragon Tattoo (Millennium, #1)",https://images.gr-assets.com/books/1327868566m/2429135.jpg,,eng,,,2005.0,,,,,,307269752,4.11,"Stieg Larsson, Reg Keeland"
"Catching Fire (The Hunger Games, #2)",https://images.gr-assets.com/books/1358273780m/6148028.jpg,,eng,,,2009.0,,,,,,439023491,4.3,Suzanne Collins
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",https://images.gr-assets.com/books/1499277281m/5.jpg,,eng,,,1999.0,,,,,,043965548X,4.53,"J.K. Rowling, Mary GrandPré, Rufus Beck"
"The Fellowship of the Ring (The Lord of the Rings, #1)",https://images.gr-assets.com/books/1298411339m/34.jpg,,eng,,,1954.0,,,,,,618346252,4.34,J.R.R. Tolkien
"Mockingjay (The Hunger Games, #3)",https://images.gr-assets.com/books/1358275419m/7260188.jpg,,eng,,,2010.0,,,,,,439023513,4.03,Suzanne Collins
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",https://images.gr-assets.com/books/1387141547m/2.jpg,,eng,,,2003.0,,,,,,439358078,4.46,"J.K. Rowling, Mary GrandPré"
The Lovely Bones,https://images.gr-assets.com/books/1457810586m/12232938.jpg,,eng,,,2002.0,,,,,,316166685,3.77,Alice Sebold
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",https://images.gr-assets.com/books/1474169725m/15881.jpg,,eng,,,1998.0,,,,,,439064864,4.37,"J.K. Rowling, Mary GrandPré"
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",https://images.gr-assets.com/books/1361482611m/6.jpg,,eng,,,2000.0,,,,,,439139600,4.53,"J.K. Rowling, Mary GrandPré"
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",https://images.gr-assets.com/books/1474171184m/136251.jpg,,eng,,,2007.0,,,,,,545010225,4.61,"J.K. Rowling, Mary GrandPré"
"The Da Vinci Code (Robert Langdon, #2)",https://images.gr-assets.com/books/1303252999m/968.jpg,,eng,,,2003.0,,,,,,307277674,3.79,Dan Brown
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",https://images.gr-assets.com/books/1361039191m/1.jpg,,eng,,,2005.0,,,,,,439785960,4.54,"J.K. Rowling, Mary GrandPré"
Lord of the Flies,https://images.gr-assets.com/books/1327869409m/7624.jpg,,eng,,,1954.0,,,,,,140283331,3.64,William Golding
Romeo and Juliet,https://images.gr-assets.com/books/1327872146m/18135.jpg,,eng,,,1595.0,,,,,,743477111,3.73,"William Shakespeare, Robert           Jackson"
Gone Girl,https://images.gr-assets.com/books/1339602131m/8442457.jpg,,eng,,,2012.0,,,,,,297859382,4.03,Gillian Flynn
The Help,https://images.gr-assets.com/books/1346100365m/4667024.jpg,,eng,,,2009.0,,,,,,399155341,4.45,Kathryn Stockett
Of Mice and Men,https://images.gr-assets.com/books/1437235233m/890.jpg,,eng,,,1937.0,,,,,,142000671,3.84,John Steinbeck
Memoirs of a Geisha,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,eng,,,1997.0,,,,,,739326228,4.08,Arthur Golden
"Fifty Shades of Grey (Fifty Shades, #1)",https://images.gr-assets.com/books/1385207843m/10818853.jpg,,eng,,,2011.0,,,,,,1612130291,3.67,E.L. James
The Alchemist,https://images.gr-assets.com/books/1483412266m/865.jpg,,eng,,,1988.0,,,,,,61122416,3.82,"Paulo Coelho, Alan R. Clarke"
"The Giver (The Giver, #1)",https://images.gr-assets.com/books/1342493368m/3636.jpg,,eng,,,1993.0,,,,,,385732554,4.12,Lois Lowry
"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",https://images.gr-assets.com/books/1353029077m/100915.jpg,,eng,,,1950.0,,,,,,60764899,4.19,C.S. Lewis
The Time Traveler's Wife,https://images.gr-assets.com/books/1437728815m/14050.jpg,,eng,,,2003.0,,,,,,965818675,3.95,Audrey Niffenegger
"A Game of Thrones (A Song of Ice and Fire, #1)",https://images.gr-assets.com/books/1436732693m/13496.jpg,,eng,,,1996.0,,,,,,553588486,4.45,George R.R. Martin
"Eat, Pray, Love",https://images.gr-assets.com/books/1503066414m/19501.jpg,,eng,,,2006.0,,,,,,143038419,3.51,Elizabeth Gilbert
"The Lightning Thief (Percy Jackson and the Olympians, #1)",https://images.gr-assets.com/books/1400602609m/28187.jpg,,eng,,,2005.0,,,,,,786838655,4.23,Rick Riordan
"Little Women (Little Women, #1)",https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,en-US,,,1868.0,,,,,,451529308,4.04,Louisa May Alcott
Jane Eyre,https://images.gr-assets.com/books/1327867269m/10210.jpg,,eng,,,1847.0,,,,,,142437204,4.1,"Charlotte Brontë, Michael Mason"
"The Notebook (The Notebook, #1)",https://images.gr-assets.com/books/1385738917m/15931.jpg,,eng,,,1996.0,,,,,,553816713,4.06,Nicholas Sparks
Life of Pi,https://images.gr-assets.com/books/1320562005m/4214.jpg,,,,,2001.0,,,,,,770430074,3.88,Yann Martel
Water for Elephants,https://images.gr-assets.com/books/1494428973m/43641.jpg,,eng,,,2006.0,,,,,,1565125606,4.07,Sara Gruen
The Book Thief,https://images.gr-assets.com/books/1390053681m/19063.jpg,,eng,,,2005.0,,,,,,375831002,4.36,Markus Zusak
Fahrenheit 451,https://images.gr-assets.com/books/1351643740m/4381.jpg,,spa,,,1953.0,,,,,,307347974,3.97,Ray Bradbury
"New Moon (Twilight, #2)",https://images.gr-assets.com/books/1361039440m/49041.jpg,,eng,,,2006.0,,,,,,316160199,3.52,Stephenie Meyer
