title,authors,cover,summary,language,categories,editor,publicationYear,pagesNumber,amazonLink,kindleLink,audibleLink,fnacLink,ISBN,rating
Wuthering Heights (Collins Classics),['Emily Brontë'],"https://images-na.ssl-images-amazon.com/images/I/41k1JwQ6zVL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Literature & Fiction', 'Genre Fiction']",,,,,,,,0007350813,4.6
THE DAYS THE CRAYONS QUIT,['Drew Daywalt'],"https://images-na.ssl-images-amazon.com/images/I/51q21jP9MtL._SX218_BO1,204,203,200_QL40_ML2_.jpg",,,[],,,,,,,,9780007513765,4.8
War Lord: Book 13 (The Last Kingdom Series),['Bernard Cornwell'],"https://images-na.ssl-images-amazon.com/images/I/51n75dtKIPL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Literature & Fiction', 'Genre Fiction']",,,,,,,,0008183988,4.8
Code Name Bananas: The hilarious and epic new children’s book from multi-million bestselling author David Walliams,['David Walliams'],"https://images-na.ssl-images-amazon.com/images/I/513FzT0YbIL._SY291_BO1,204,203,200_QL40_ML2_.jpg",,,[],,,,,,,,0008305838,4.8
Skincare: The award-winning ultimate no-nonsense guide and Sunday Times No. 1 best-seller,['Caroline Hirons'],"https://images-na.ssl-images-amazon.com/images/I/51agrdZp2BS._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Crafts, Hobbies & Home', 'Home Improvement & Design']",,,,,,,,0008375526,4.8
The Hobbit & The Lord of the Rings Boxed Set,['J. R. R. Tolkien'],"https://images-na.ssl-images-amazon.com/images/I/51iy3eo8+KL._SY344_BO1,204,203,200_.jpg",,,"['Literature & Fiction', 'Mythology & Folk Tales']",,,,,,,,0008387753,4.8
The Silmarillion,['J. R. R. Tolkien'],"https://images-na.ssl-images-amazon.com/images/I/51KZEkcVYML._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Literature & Fiction', 'Genre Fiction']",,,,,,,,0008433941,4.7
The Chronicles of Narnia (Box Set),['C. S. Lewis'],"https://images-na.ssl-images-amazon.com/images/I/51YGwxKn3CL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",,,[],,,,,,,,0060244887,4.8
Where the Wild Things Are,['Maurice Sendak'],"https://images-na.ssl-images-amazon.com/images/I/61zGOvBSgAL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",,,[],,,,,,,,0060254920,4.9
The Giving Tree,['Shel Silverstein'],"https://images-na.ssl-images-amazon.com/images/I/41m-Tm2wAqL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,[],,,,,,,,0060256656,4.9
The Intelligent Investor Rev Ed.: The Definitive Book on Value Investing,['Benjamin GrahamJason Zweig'],"https://images-na.ssl-images-amazon.com/images/I/41vQ4DGEmoL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Business & Money', 'Investing']",,,,,,,,9780060555665,4.7
Pretty Girls,['Karin Slaughter'],"https://images-na.ssl-images-amazon.com/images/I/51059l63ziL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Mystery, Thriller & Suspense', 'Thrillers & Suspense']",,,,,,,,0062429078,4.3
Mere Christianity,['C. S. Lewis'],"https://images-na.ssl-images-amazon.com/images/I/41u+v3YL9xL._SY344_BO1,204,203,200_.jpg",,,"['Christian Books & Bibles', 'Christian Living']",,,,,,,,0060652888,4.8
Mere Christianity,['C. S. Lewis'],"https://images-na.ssl-images-amazon.com/images/I/41g3X1zwbfL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",,,"['Christian Books & Bibles', 'Christian Living']",,,,,,,,0060652926,4.8
