title,authors,cover,summary,language,genres,editor,publicationYear,pagesNumber,amazonLink,kindleLink,audibleLink,fnacLink,ISBN,rating
"The Hunger Games (The Hunger Games, #1)",['Suzanne Collins'],https://images.gr-assets.com/books/1447303603m/2767052.jpg,,eng,,,2008,,,,,,439023483,4.34
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)","['J.K. Rowling', 'Mary GrandPré']",https://images.gr-assets.com/books/1474154022m/3.jpg,,eng,,,1997,,,,,,439554934,4.44
"Twilight (Twilight, #1)",['Stephenie Meyer'],https://images.gr-assets.com/books/1361039443m/41865.jpg,,en-US,,,2005,,,,,,316015849,3.57
To Kill a Mockingbird,['Harper Lee'],https://images.gr-assets.com/books/1361975680m/2657.jpg,,eng,,,1960,,,,,,61120081,4.25
The Great Gatsby,['F. Scott Fitzgerald'],https://images.gr-assets.com/books/1490528560m/4671.jpg,,eng,,,1925,,,,,,743273567,3.89
The Fault in Our Stars,['John Green'],https://images.gr-assets.com/books/1360206420m/11870085.jpg,,eng,,,2012,,,,,,525478817,4.26
The Hobbit,['J.R.R. Tolkien'],https://images.gr-assets.com/books/1372847500m/5907.jpg,,en-US,,,1937,,,,,,618260307,4.25
The Catcher in the Rye,['J.D. Salinger'],https://images.gr-assets.com/books/1398034300m/5107.jpg,,eng,,,1951,,,,,,316769177,3.79
"Angels & Demons  (Robert Langdon, #1)",['Dan Brown'],https://images.gr-assets.com/books/1303390735m/960.jpg,,en-CA,,,2000,,,,,,1416524797,3.85
Pride and Prejudice,['Jane Austen'],https://images.gr-assets.com/books/1320399351m/1885.jpg,,eng,,,1813,,,,,,679783261,4.24
The Kite Runner,['Khaled Hosseini'],https://images.gr-assets.com/books/1484565687m/77203.jpg,,eng,,,2003,,,,,,1594480001,4.26
"Divergent (Divergent, #1)",['Veronica Roth'],https://images.gr-assets.com/books/1328559506m/13335037.jpg,,eng,,,2011,,,,,,62024035,4.24
1984,"['George Orwell', 'Erich Fromm', 'Celâl Üster']",https://images.gr-assets.com/books/1348990566m/5470.jpg,,eng,,,1949,,,,,,451524934,4.14
Animal Farm,['George Orwell'],https://images.gr-assets.com/books/1424037542m/7613.jpg,,eng,,,1945,,,,,,452284244,3.87
The Diary of a Young Girl,"['Anne Frank', 'Eleanor Roosevelt', 'B.M. Mooyaart-Doubleday']",https://images.gr-assets.com/books/1358276407m/48855.jpg,,eng,,,1947,,,,,,553296981,4.1
"The Girl with the Dragon Tattoo (Millennium, #1)","['Stieg Larsson', 'Reg Keeland']",https://images.gr-assets.com/books/1327868566m/2429135.jpg,,eng,,,2005,,,,,,307269752,4.11
"Catching Fire (The Hunger Games, #2)",['Suzanne Collins'],https://images.gr-assets.com/books/1358273780m/6148028.jpg,,eng,,,2009,,,,,,439023491,4.3
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)","['J.K. Rowling', 'Mary GrandPré', 'Rufus Beck']",https://images.gr-assets.com/books/1499277281m/5.jpg,,eng,,,1999,,,,,,043965548X,4.53
"The Fellowship of the Ring (The Lord of the Rings, #1)",['J.R.R. Tolkien'],https://images.gr-assets.com/books/1298411339m/34.jpg,,eng,,,1954,,,,,,618346252,4.34
"Mockingjay (The Hunger Games, #3)",['Suzanne Collins'],https://images.gr-assets.com/books/1358275419m/7260188.jpg,,eng,,,2010,,,,,,439023513,4.03
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)","['J.K. Rowling', 'Mary GrandPré']",https://images.gr-assets.com/books/1387141547m/2.jpg,,eng,,,2003,,,,,,439358078,4.46
The Lovely Bones,['Alice Sebold'],https://images.gr-assets.com/books/1457810586m/12232938.jpg,,eng,,,2002,,,,,,316166685,3.77
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)","['J.K. Rowling', 'Mary GrandPré']",https://images.gr-assets.com/books/1474169725m/15881.jpg,,eng,,,1998,,,,,,439064864,4.37
"Harry Potter and the Goblet of Fire (Harry Potter, #4)","['J.K. Rowling', 'Mary GrandPré']",https://images.gr-assets.com/books/1361482611m/6.jpg,,eng,,,2000,,,,,,439139600,4.53
"Harry Potter and the Deathly Hallows (Harry Potter, #7)","['J.K. Rowling', 'Mary GrandPré']",https://images.gr-assets.com/books/1474171184m/136251.jpg,,eng,,,2007,,,,,,545010225,4.61
"The Da Vinci Code (Robert Langdon, #2)",['Dan Brown'],https://images.gr-assets.com/books/1303252999m/968.jpg,,eng,,,2003,,,,,,307277674,3.79
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)","['J.K. Rowling', 'Mary GrandPré']",https://images.gr-assets.com/books/1361039191m/1.jpg,,eng,,,2005,,,,,,439785960,4.54
Lord of the Flies,['William Golding'],https://images.gr-assets.com/books/1327869409m/7624.jpg,,eng,,,1954,,,,,,140283331,3.64
Romeo and Juliet,"['William Shakespeare', 'Robert           Jackson']",https://images.gr-assets.com/books/1327872146m/18135.jpg,,eng,,,1595,,,,,,743477111,3.73
Gone Girl,['Gillian Flynn'],https://images.gr-assets.com/books/1339602131m/8442457.jpg,,eng,,,2012,,,,,,297859382,4.03
The Help,['Kathryn Stockett'],https://images.gr-assets.com/books/1346100365m/4667024.jpg,,eng,,,2009,,,,,,399155341,4.45
